gene name	p-value
Slc4a1	0.00015907910319067057
Tmem184a	0.0013245236266895594
Epb4.9	0.006653671505692075
Mir3062	0.0009186062201794157
Alas2	0.009865504292490038
Fam132b	0.011664314681196036
Csf2rb2	0.008397552024333408
2310046K01Rik	0.0019619138369573914
Car1	0.05237622501162367
Cmtm7	0.44308633055038915
Ypel4	0.0039505919574525684
Ypel3	0.013910961735090264
Mir703	0.42264973081037416
Arhgap23	0.014606496242896028
B230312A22Rik	0.0285175754998686
Tmcc2	0.00477335642380282
Hbb-y	0.06663782110613525
Pdia2	0.036072466978044046
Csf2rb	0.004454020634398919
Ache	0.0011989975968485305
Snrpn	0.42264973081037427
Myb	0.0026678764722207937
Coro1a	0.18408081362620277
Btg2	0.02205648137838399
Cox6b2	0.08690249760301598
Mir546	0.18832787578741844
Lyl1	0.16903365990930416
Kalrn	0.014990015670440678
Abcb10	0.0178684915335948
Slc38a5	0.01789145257014175
Rragd	0.010267206507731642
Vim	0.02171165887627105
Evi5l	0.000494787079653698
Dnajb2	0.006157798567005035
Sept9	0.012808347989681983
Slc6a9	0.001995108627594994
Ptprcap	0.01602730973328042
Tmem120b	0.06461698628008637
Kit	0.027320619113961372
Arhgdig	0.022579681465876893
Itga7	0.044532972727874966
Cldn13	0.11782073745720964
Slc25a37	0.000298221871958606
Arap3	0.023928946470481754
Abhd4	0.006956887760906113
Rab3il1	0.0010881043927065213
Ppp2r5b	0.015265949489968678
Mmp14	0.04361402282135638
Fam46c	0.004630025265107667
Snora28	0.037821157020455576
Capg	0.05285531329718493
Zfp362	0.4492744256327369
Pisd-ps3	0.2602381223066362
Myo1g	0.08244716748371592
Cdc25b	0.036718344299488635
Atp2a3	0.15343226589656336
Sept1	0.04597111166296893
Dyrk1b	0.017813147792027712
Dhrs11	0.020569216607338726
Srxn1	0.015534262706645393
E130012A19Rik	0.44184744685888677
Mboat2	0.27637889124618426
Lgals9	0.00028353916158641994
Nefh	0.008306198822774932
Map1lc3a	0.018300846568312212
St8sia4	0.023509854555539694
Hmga1-rs1	0.004533351891187637
Wls	0.4107200374462907
Limd2	0.06983683361213378
Btn1a1	0.0483185580379819
Fn3k	0.006066656205071525
Ptpn7	0.051272040096665736
Gp5	0.04090835043896089
Cxxc5	0.45149246531424925
Idh2	0.08969516339978251
Lcp2	0.26115262005873674
Mir7-1	0.42264973081037416
Mdk	0.010961825112469915
Il1rl1	0.001297692168163909
Fkbp11	0.026363797795724803
Tubb1	0.0008056075753051271
Slc46a3	0.013266927280412394
Cpne9	0.010011752795722894
Crat	0.0018736030910605297
Def6	0.014605456343115431
Fgf15	0.28390877028773814
Matn1	0.0038477641093282093
Wsb2	0.0033137730242640494
Set	0.0426408137037795
Fam65a	0.23174452155130504
Nab2	0.3253421593045299
Tgm2	0.1379722529210956
Flna	0.0028532676137117434
Uba7	0.015697717102687747
Tmem150a	0.013757817352145912
Alox5	0.4096913737542225
Erv3	0.15091017317571748
Hmga1	0.01774897443790105
Calcoco1	0.04336987969363323
Dhrs3	0.013966521314615172
Ptpn6	0.11698404612211029
Ptrf	0.3566604502081273
Ypel2	0.019482320933936603
Abcb9	0.008445004298342315
Casp3	0.0020955959592975624
Hmox1	0.05645570674583402
Rgs11	0.17810219540188407
1810058I24Rik	0.014763371674296713
